Shipment_ID,Order_Date,Origin,Destination,Distance_km,Vehicle_Type,Shipment_Weight_kg,Delivery_Time_Hours,Expected_Delivery_Hours,Transportation_Cost,Delivery_Status
SHP001,2026-09-01,Mumbai,Delhi,1400,Truck,500.5,24.5,22.0,15000.0,Late
SHP002,2026-09-02,mumbai,Pune,150,Van,100.0,4.0,5.0,2000.0,On-Time
SHP003,2026-09-02,MUMBAI,Pune,150,Van,100.0,4.0,5.0,2000.0,On-Time
SHP004,2026-09-03,Delhi,Jaipur,280,Truck,450.0,6.5,6.0,4500.0,Late
SHP005,09/04/2026,Chennai,Bangalore,350,Van,200.0,8.0,8.0,5000.0,On-Time
SHP006,2026-09-05,Kolkata,Patna,580,Truck,700.0,12.0,10.0,8500.0,Late
SHP007,2026-09-05,Bangalore,Hyderabad,570,Van,250.0,,9.0,6000.0,
SHP008,2026-09-06,Hyderabad,Pune,500,Truck,600.0,500.0,8.5,7500.0,Late
SHP009,2026-09-07,Ahmedabad,Surat,260,Van,150.0,5.5,5.0,3000.0,Late
SHP001,2026-09-01,Mumbai,Delhi,1400,Truck,500.5,24.5,22.0,15000.0,Late
SHP010,2026-09-08,Pune,Mumbai,150,Van,80.0,3.5,4.0,,On-Time
SHP011,2026-09-09,Delhi,Chandigarh,250,Truck,300.0,5.0,5.0,4000.0,On-Time
SHP012,2026-09-10,jaipur,Delhi,280,Van,150.0,6.0,6.0,3500.0,On-Time
