Shipment_ID,Order_Date,Origin,Destination,Distance_km,Vehicle_Type,Shipment_Weight_kg,Delivery_Time_Hours,Expected_Delivery_Hours,Transportation_Cost,Delivery_Status,Delivery_Delay,Cost_Per_Km
SHP001,2026-09-01,Mumbai,Delhi,1.0,Truck,0.6782258064516129,15.375,22.0,15000.0,Late,-6.625,10.714285714285714
SHP002,2026-09-02,Mumbai,Pune,0.0,Van,0.03225806451612903,4.0,5.0,2000.0,On-Time,-1.0,13.333333333333334
SHP003,2026-09-02,Mumbai,Pune,0.0,Van,0.03225806451612903,4.0,5.0,2000.0,On-Time,-1.0,13.333333333333334
SHP004,2026-09-03,Delhi,Jaipur,0.104,Truck,0.5967741935483871,6.5,6.0,4500.0,Late,0.5,16.071428571428573
SHP005,,Chennai,Bangalore,0.16000000000000003,Van,0.1935483870967742,8.0,8.0,5000.0,On-Time,0.0,14.285714285714286
SHP006,2026-09-05,Kolkata,Patna,0.34400000000000003,Truck,1.0,12.0,10.0,8500.0,Late,2.0,14.655172413793103
SHP007,2026-09-05,Bangalore,Hyderabad,0.336,Van,0.27419354838709675,6.0,9.0,6000.0,On-Time,-3.0,10.526315789473685
SHP008,2026-09-06,Hyderabad,Pune,0.28,Truck,0.8387096774193549,15.375,8.5,7500.0,Late,6.875,15.0
SHP009,2026-09-07,Ahmedabad,Surat,0.08800000000000001,Van,0.11290322580645162,5.5,5.0,3000.0,Late,0.5,11.538461538461538
SHP010,2026-09-08,Pune,Mumbai,0.0,Van,0.0,3.5,4.0,4500.0,On-Time,-0.5,30.0
SHP011,2026-09-09,Delhi,Chandigarh,0.08,Truck,0.3548387096774194,5.0,5.0,4000.0,On-Time,0.0,16.0
SHP012,2026-09-10,Jaipur,Delhi,0.104,Van,0.11290322580645162,6.0,6.0,3500.0,On-Time,0.0,12.5
